Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Pokémon Red / Green / Blue Version,,31.38,Nintendo,1998,GB,,,,,,9.4
Tony Hawk's,,31.12,Activision,1999,Series,,,,,,
Call of Duty: Black Ops II,,31,Activision,2012,All,,,,,,
Tom Clancy's Splinter Cell,,31,Ubisoft,2002,Series,,,,,,
Xeno,,8.85,Square,1998,Series,,,,,,
Mario Party 8,,8.85,Nintendo,2007,Wii,,,,,,6.5
Megami Tensei,,8.8,Atlus,2004,Series,,,,,,
Monster Hunter Generations,,8.8,Capcom,2016,All,,,,,,
Super Mario Kart,,8.76,Nintendo,1992,SNES,,,,,,10
Grand Theft Auto V,8.72,,Rockstar Games,2014,XOne,0.01,4.7,0.76,3.25,9,9
Naruto Shippuden: Ultimate Ninja Storm 4,,8.7,Bandai Namco Entertainment,2016,All,,,,,,
The Legend of Zelda: Twilight Princess,,8.69,Nintendo,2006,All,,,,,,
Nintendo Switch Sports,,8.61,Nintendo,2022,NS,,,,,,
Final Fantasy VIII,,8.6,Square EA,1999,PS,,,,,,9.4
Final Fantasy X,,8.6,Square,2001,PS2,,,,,10,9
Monument Valley,,8.59,Ustwo Games,2014,Series,,,,,,
Pokémon Black 2 and White 2,,8.52,Nintendo,2012,DS,,,,,8.3,8
NBA 2K17,,8.5,2K Sports,2016,All,,,,,,
Onimusha,,8.5,Capcom,2001,Series,,,,,,
Call of Duty: Infinite Warfare,8.48,,Activision,2016,PS4,0.19,3.11,1.36,3.83,,
Fallout 4,8.48,,Bethesda Softworks,2015,PS4,0.27,2.91,1.34,3.97,,8.6
Mario Kart 8,,8.46,Nintendo,2014,WiiU,,,,,,8.8
Tekken 3,,8.36,Namco,1998,PS,,,,,,9.6
Monster Hunter 4,,8.3,Capcom,2015,All,,,,,,
FIFA 16,8.22,,EA Sports,2015,PS4,0.07,1.15,1.23,5.77,,8.5
Lego Star Wars II: The Original Trilogy,,8.2,LucasArts,2006,All,,,,,,
The Last of Us,,8.15,Sony Computer Entertainment America,2013,PS3,,,,,,9.5
GoldenEye 007,,8.09,Nintendo,1997,N64,,,,,,9.8
Star Wars Jedi: Fallen Order,,10,Electronic Arts,2019,All,,,,,,
Star Wars Battlefront (2015),8.03,,Electronic Arts,2015,PS4,0.23,3.31,1.3,3.19,,7.1
FIFA 13,8.01,,EA Sports,2012,PS3,0.13,1.07,1.68,5.13,,
Assassin's Creed,,8,Ubisoft,2007,All,,,,,,
Tekken 7,,10,Bandai Namco Entertainment,2015,All,,,,,,
The Last of Us Part II,,10,Sony Interactive Entertainment,2020,PS4,,,,,,
The Settlers,,10,Blue Byte,1993,Series,,,,,,
The Sims 3,,10,Electronic Arts,2009,All,,,,,,
Titanfall,,10,Electronic Arts,2014,All,,,,,,
Tom Clancy's Ghost Recon Wildlands,,10,Ubisoft,2017,All,,,,,,
Cars,,8,THQ,2006,All,,,,,,
Cuphead,,8,Studio MDHR,2017,Series,,,,,,
Detroit: Become Human,,8,Sony Interactive Entertainment,2018,All,,,,,,
Dragon Ball FighterZ,,8,Bandai Namco Entertainment,2018,All,,,,,,
Tom Clancy's Rainbow Six Siege,,10,Ubisoft,2015,All,,,,,,
Tom Clancy's The Division,,10,Ubisoft,2016,All,,,,,,
Tom Clancy's The Division 2,,10,Ubisoft,2019,All,,,,,,
Dragon Ball Xenoverse 2,,8,Bandai Namco Entertainment,2016,All,,,,,,
Ghost of Tsushima,,8,Sony Interactive Entertainment,2020,PS4,,,,,,8.8
Valheim,,10,Coffee Stain Publishing,2021,PC,,,,,,
Watch Dogs,,10,Ubisoft,2014,All,,,,,,
Grand Theft Auto: Liberty City Stories,,8,Rockstar Games,2005,All,,,,,,
Guitar Hero III: Legends of Rock,,8,Activision,2007,All,,,,,,
Halo 2,,8,Microsoft Game Studios,2004,XB,,,,,,9.6
Harry Potter and the Sorcerer's Stone,,8,Electronic Arts,2001,PS,,,,,,8
Inazuma Eleven,,8,Level 5,2008,Series,,,,,,
Watch Dogs 2,,10,Ubisoft,2016,All,,,,,,
Halo: Reach,9.97,,Microsoft Game Studios,2010,X360,0.08,7.08,0.8,2.01,,9.3
Kinect Sports,,8,Microsoft Game Studios,2010,Series,,,,,,
Moto Racer,,8,Electronic Arts,1997,Series,,,,,,
NBA 2K16,,8,2K Sports,2015,All,,,,,,
Portal,,9.97,Valve Corporation,2008,PC,,,,,,9
Halo 4,9.96,,Microsoft Studios,2012,X360,0.04,6.72,0.83,2.36,,
The Binding of Isaac,,9.93,Edmund McMillen,2011,Series,,,,,,
Final Fantasy VII,,9.9,Sony Computer Entertainment,1997,PS,,,,,9.5,9.6
Mario Kart 64,,9.87,Nintendo,1997,N64,,,,,,8.5
Ace Attorney,,9.8,Capcom,2005,Series,,,,,,
Ghost of Tsushima,,9.73,Sony Interactive Entertainment,2020,All,,,,,,
Dead or Alive,,9.7,Tecmo,1998,Series,,,,,,
Romance of the Three Kingdoms,,8,KOEI,1985,Series,,,,,,
Samurai Warriors,,8,KOEI,2004,Series,,,,,,
Sid Meier's Civilization V,,8,2K Games,2010,PC,,,,,,8.9
Super Smash Bros. for 3DS,,9.64,Nintendo,2014,3DS,,,,,,8.4
Final Fantasy VIII,,9.6,Square,1999,All,,,,,,
Unreal,,8,GT Interactive,1998,Series,,,,,,
The Sims 3,7.96,,Electronic Arts,2009,PC,,1.01,0.5,6.46,,8.5
Street Fighter IV,,9.6,Capcom,2009,All,,,,,,
Carnival Games,,9.5,Global Star Software,2007,Series,,,,,,
Call of Duty 4: Modern Warfare,9.41,,Activision,2007,X360,0.13,5.98,0.91,2.39,9,9.6
Super Mario Maker 2,,7.89,Nintendo,2019,NS,,,,,,
Mario Party Superstars,,9.38,Nintendo,2021,NS,,,,,,
Gran Turismo 2,,9.37,Sony Computer Entertainment,1999,PS,,,,,,9.2
Wii Party,,9.35,Nintendo,2010,Wii,,,,,,7
Call of Duty: Black Ops IIII,9.32,,Activision,2018,PS4,0.5,4.05,1.49,3.28,,
Mario Party DS,,9.31,Nintendo,2007,DS,,,,,,7.1
FIFA 09,,7.8,EA Sports,2008,All,,,,,,
Grand Theft Auto: Liberty City Stories,7.72,,Rockstar Games,2005,PSP,0.24,2.9,1.74,2.83,,8.8
Final Fantasy XII,,7.71,Square Enix,2006,All,,,,,,
Donkey Kong Country,,9.3,Nintendo,1994,SNES,,,,,,9
Half-Life,,9.3,Sierra Entertainment,1998,PC,,,,,,9.5
Uncharted 3: Drake's Deception,,9.3,Sony Computer Entertainment,2011,PS3,,,,,6.3,9.3
NieR,,9.2,Square Enix,2010,Series,,,,,,
FIFA 19,9.15,,Electronic Arts,2018,PS4,0.1,0.84,1.34,6.87,,
Pokémon: Ultra Sun and Ultra Moon,,9.12,Nintendo,2017,3DS,,,,,,8.1
Super Mario 3D All-Stars,,9.07,Nintendo,2020,NS,,,,,,
Rust,,9.02,Facepunch Studios,2018,PC,,,,,,6.1
Assassin's Creed II,,9,Ubisoft,2009,All,,,,,,
Battlefield: Bad Company 2,,9,Electronic Arts,2010,All,,,,,,
Harry Potter and the Chamber of Secrets,,9,Electronic Arts,2002,All,,,,,,
Payday,,9,Daybreak Games,2011,Series,,,,,,
Silent Hill,,9,Konami,1999,Series,,,,,,
Star Wars Battlefront II (2017),,9,Electronic Arts,2017,All,,,,,,
The Experience,,9,Ubisoft,2010,Series,,,,,,
Ninja Gaiden,,8.96,Tecmo,1988,Series,,,,,,
Need for Speed: Undercover,,8.9,Electronic Arts,2008,All,,,,,,
The Elder Scrolls V: Skyrim,8.88,,Bethesda Softworks,2011,X360,0.1,5.1,0.85,2.83,,9.3
Final Fantasy XIII,,7.71,Square Enix,2010,All,,,,,,
Monster Hunter Rise,,7.7,Capcom,2021,NS,,,,,,
Pac-Man,,7.7,Atari,1982,2600,,,,,,
Cyberpunk 2077,,7.67,CD Projekt Red Studio,2020,PC,,,,,,
Magicka,,7.66,Paradox Interactive,2011,Series,,,,,,
God of War III,,7.6,Sony Computer Entertainment,2010,PS3,,,,,9.4,9.2
Pokémon Platinum Version,,7.6,Nintendo,2009,DS,,,,,8.9,8.3
The Legend of Zelda: Ocarina of Time,,7.6,Nintendo,1998,N64,,,,,10,9.9
Jurassic Park,,7.57,Ocean Software,1993,Series,,,,,,
Call of Duty: Advanced Warfare,7.53,,Activision,2014,PS4,0.14,2.84,1.22,3.34,,8.5
Crysis,,7.5,Electronic Arts,2007,Series,,,,,,
Call of Duty: World at War,7.5,,Activision,2008,X360,,4.88,0.71,1.91,7.8,8.5
Baldur's Gate,,7.47,Interplay Entertainment Corp.,2000,Series,,,,,,
Super Mario Bros. 2,,7.46,Nintendo,1988,NES,,,,,,
Super Mario Galaxy 2,,7.41,Nintendo,2010,Wii,,,,,9.8,9.7
Super Smash Bros. Melee,,7.41,Nintendo,2001,GC,,,,,,9.2
Madden NFL 07,,7.4,EA Sports,2006,All,,,,,,
Resident Evil 8: Village,,7.4,Capcom,2021,All,,,,,,
Trine,,7.39,Nobilis,2009,Series,,,,,,
Call of Duty: Black Ops 3,7.37,,Activision,2015,XOne,0.02,4.63,0.68,2.04,,
Battlefield 3,7.35,,Electronic Arts,2011,X360,0.06,4.47,0.69,2.12,,8.5
Battlefield V,,7.3,Electronic Arts,2018,All,,,,,,
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,,7.3,Nintendo,2016,3DS,,,,,,
Ark,,7.26,Studio Wildcard,2017,Series,,,,,,
The Legend of Zelda: Twilight Princess,,7.26,Nintendo,2006,Wii,,,,,9.6,9.5
Battlefield 1,7.26,,Electronic Arts,2016,PS4,0.29,2.2,1.12,3.65,,9.1
Battlefield 3,7.21,,Electronic Arts,2011,PS3,0.35,2.86,1.07,2.94,,8.5
Oddworld,,7.2,GT Interactive,1997,Series,,,,,,
Need for Speed Underground,7.2,,Electronic Arts,2003,PS2,0.08,3.27,1.02,2.83,,8.6
Assassin's Creed: Brotherhood,,7.2,Ubisoft,2010,All,,,,,,
Call of Duty 3,,7.2,Activision,2006,All,,,,,,
Dragon's Dogma,,7.2,Capcom,2012,Series,,,,,,
WarioWare,,7.19,Nintendo,2003,Series,,,,,,
The Binding of Isaac,,7.17,Edmund McMillen,2011,PC,,,,,,8.3
Tomb Raider,,7.16,Eidos Interactive,1996,All,,,,,,
Pokémon Emerald Version,,7.06,Nintendo,2005,GBA,,,,,,7.7
Ark: Survival Evolved,,7,Studio Wildcard,2017,All,,,,,,
Assassin's Creed: Revelations,,7,Ubisoft,2011,All,,,,,,
DiRT,,7,Codemasters,2007,Series,,,,,,
Grim Dawn,,7,Crate Entertainment,2016,All,,,,,,
Guild Wars 2,,7,NCSoft,2012,PC,,,,,,
Just Dance 3,,7,Ubisoft,2011,All,,,,,,
King's Quest,,7,Sierra Online,1984,Series,,,,,,
Mafia III,,7,2K Games,2016,All,,,,,,
Mana,,7,Square,1991,Series,,,,,,
Metal Gear Solid 2: Sons of Liberty,,7,Konami,2001,PS2,,,,,7,9.5
NBA 2K14,,7,2K Sports,2013,All,,,,,,
NBA 2K15,,7,2K Sports,2014,All,,,,,,
NieR: Automata,,7,Square Enix,2017,All,,,,,,
Nioh,,7,Koei Tecmo,2017,Series,,,,,,
Project Gotham Racing,,7,Sega,2001,Series,,,,,,
Rise of the Tomb Raider,,7,Square Enix,2015,All,,,,,,
Rugrats,,7,THQ,1999,Series,,,,,,
Star Wars: The Force Unleashed,,7,LucasArts,2008,All,,,,,,
Street Fighter V,,7,Capcom,2016,All,,,,,,
The Legend of Heroes: Trails,,7,Xseed Games,2011,Series,,,,,,
"Warhammer 40,000: Dawn of War",,7,THQ,2004,Series,,,,,,
Zumba Fitness,,7,Majesco,2010,All,,,,,,
The Room,,6.94,Fireproof Games,2012,All,,,,,,
Need for Speed Underground 2,6.9,,Electronic Arts,2004,PS2,0.08,2.71,1.09,3.02,,8.3
Just Dance 4,6.89,,Ubisoft,2012,Wii,,4.05,0.62,2.21,,
Mario Kart: Double Dash!!,,6.88,Nintendo,2003,GC,,,,,,8.5
Tomb Raider II,,6.85,Eidos Interactive,1997,All,,,,,,
Medal of Honor: Frontline,6.83,,Electronic Arts,2002,PS2,0.17,2.93,0.99,2.75,,9
Crash Bandicoot,,6.82,Sony Computer Entertainment,1996,PS,,,,,,7.8
Persona 5,,6.8,Atlus,2017,All,,,,,,
Clubhouse Games,,6.79,Nintendo,2006,Series,,,,,,
Uncharted 2: Among Thieves,6.74,,Sony Computer Entertainment,2009,PS3,0.21,3.28,1.02,2.22,9.6,9.5
Star Wars: Knights of the Old Republic,,6.73,LucasArts,2003,Series,,,,,,
Call of Duty 4: Modern Warfare,6.72,,Activision,2007,PS3,0.28,3.13,1.04,2.27,9.6,9.5
Tomodachi Life,,6.71,Nintendo,2014,3DS,,,,,,7.8
Kingdom Hearts III,,6.7,Square Enix,2019,All,,,,,,
Lego Star Wars: The Video Game,,6.7,Eidos Interactive,2005,All,,,,,,
Mario Strikers,,6.67,Nintendo,2005,Series,,,,,,
FIFA Soccer 12,6.65,,EA Sports,2011,PS3,0.11,0.84,1.37,4.33,,9.2
FIFA 14,6.61,,EA Sports,2013,PS3,0.07,0.79,0.98,4.77,,
Fallout 4,,6.6,Bethesda Softworks,2015,PC,,,,,,9
Ben 10,,6.6,D3 Publisher,2007,Series,,,,,,
Red Dead Redemption,6.57,,Rockstar Games,2011,PS3,0.17,2.82,1,2.58,,9.5
Donkey Kong Country Returns,,6.53,Nintendo,2010,Wii,,,,,,8.6
Mario & Sonic at the Olympic Winter Games,,6.53,Sega,2009,All,,,,,,
The Legend of Zelda,,6.51,Nintendo,1987,NES,,,,,,9
Assassin's Creed III,6.5,,Ubisoft,2012,PS3,0.16,2.65,1.08,2.61,,8.8
Devil May Cry 5,,6.5,Capcom,2019,All,,,,,,
Dragon Quest XI,,6.5,Square Enix,2018,All,,,,,,
Guild Wars,,6.5,NCSoft,2005,PC,,,,,,8.7
Lost Planet,,6.5,Capcom,2007,Series,,,,,,
Madden NFL 06,,6.5,EA Sports,2005,All,,,,,,
Marvel's Spider-Man: Miles Morales,,6.5,Sony Interactive Entertainment,2020,All,,,,,,
Red Dead Redemption,6.5,,Rockstar Games,2010,X360,0.09,3.77,0.6,2.03,10,9.5
The Elder Scrolls V: Skyrim,6.49,,Bethesda Softworks,2011,PS3,0.25,2.57,0.99,2.68,,9
Diddy Kong Racing,,6.47,Nintendo,1997,Series,,,,,,
Luigi's Mansion: Dark Moon,,6.47,Nintendo,2013,3DS,,,,,,8.6
Elite,,6.4,Imagineer,1984,Series,,,,,,
Final Fantasy XII,,6.4,Square Enix,2006,PS2,,,,,9.5,9.4
Resident Evil 3 (2020),,6.4,Capcom,2020,All,,,,,,
The Legend of Zelda: Ocarina of Time 3D,,6.4,Nintendo,2011,3DS,,,,,,9.3
Pokémon Crystal Version,,6.39,Nintendo,2001,GBC,,,,,,8.7
Hatsune Miku: Project,,6.35,Sega,2012,Series,,,,,,
Minecraft,6.33,,Sony Computer Entertainment,2014,PS4,0.35,1.89,0.96,3.13,,9.4
FIFA 15,6.32,,EA Sports,2014,PS4,0.05,0.83,0.94,4.49,,8.1
Kingdom Hearts,,6.3,Square EA,2002,PS2,,,,,,8.5
Myst,,6.3,Broderbund,1995,PC,,,,,,8.9
Street Fighter II: The World Warrior,,6.3,Capcom,1992,SNES,,,,,,
Driver,6.27,,GT Interactive,1999,PS,0.02,3.11,0.33,2.8,,8.5
Call of Duty: WWII,6.23,,Activision,2017,XOne,,3.75,0.57,1.91,,
Pikmin,,6.22,Nintendo,2001,Series,,,,,,
Big Brain Academy,,6.15,Nintendo,2006,DS,,,,,,7.7
Kirby and the Forgotten Land,,6.12,Nintendo,2022,NS,,,,,,
The Legend of Zelda: Link's Awakening,,6.08,Nintendo,2019,NS,,,,,10,
Minecraft,6.05,,Sony Computer Entertainment America,2014,PS3,,2.21,0.99,2.86,,
Pokémon Snap,,6.03,Nintendo,1999,Series,,,,,,
Borderlands,,6,2K Games,2009,All,,,,,,
Carnival Games,,6,Global Star Software,2007,All,,,,,,
Championship Manager,,6,Domark Software,1992,Series,,,,,,
Cities: Skylines,,6,Paradox Interactive,2015,All,,,,,,
Conflict,,6,Gotham Games,2002,Series,,,,,,
Cuphead,,6,Studio MDHR,2017,All,,,,,,
Dead Cells,,6,Motion Twin,2018,All,,,,,,
Dead Space,,6,Electronic Arts,2008,Series,,,,,,
Dragon Age: Inquisition,,6,Electronic Arts,2014,All,,,,,,
FIFA 07,,6,Electronic Arts,2006,All,,,,,,
Just Dance,,6,Ubisoft,2009,Wii,,,,,,5.4
Limbo,,6,Playdead,2010,All,,,,,,
Mass Effect 3,,6,Electronic Arts,2012,All,,,,,,
Metal Gear Solid,,6,Konami,1998,PS,,,,,,9.3
Metal Gear Solid,,6,Konami,1998,All,,,,,,
Metal Gear Solid 4: Guns of the Patriots,,6,Konami,2008,PS3,,,,,9.8,9.3
Metal Gear Solid V: The Phantom Pain,,6,Konami,2015,All,,,,,,
Metro Exodus,,6,Deep Silver,2019,All,,,,,,
MotorStorm,,6,Sony Interactive Entertainment,2007,Series,,,,,,
NBA Jam,,6,Midway,1994,Series,,,,,,
One Piece: Pirate Warriors,,6,Bandai Namco Games,2012,Series,,,,,,
Project Gotham Racing,,6,Microsoft,2001,XB,,,,,,8.4
Sonic the Hedgehog 2,,6,Sega,1992,GEN,,,,,,
Star Wars: Battlefront II,,6,LucasArts,2005,All,,,,,,
StarCraft II: Wings of Liberty,,6,Blizzard Entertainment,2010,PC,,,,,,9.3
Tekken 5,,6,Namco,2005,PS2,,,,,,9
Tom Clancy's Splinter Cell,,6,Ubisoft,2002,All,,,,,,
Euro Truck Simulator 2,,5.98,SCS Software,2013,PC,,,,,,8.5
Tekken 6,,5.98,Namco Bandai Games,2007,All,,,,,,
Tomb Raider III,,5.94,Eidos Interactive,1998,All,,,,,,
Mario Kart: Super Circuit,,5.91,Nintendo,2001,GBA,,,,,,9.3
Super Mario Sunshine,,5.91,Nintendo,2002,GC,,,,,,9.2
Call of Duty 2,,5.9,Activision,2005,All,,,,,,
Super Mario 3D World,,5.88,Nintendo,2013,WiiU,,,,,,9.5
Mario vs. Donkey Kong,,5.87,Nintendo,2004,Series,,,,,,
Final Fantasy IX,,5.83,Square,2000,All,,,,,,
Style Savvy,,5.83,Nintendo,2009,Series,,,,,,
Age of Empires II: HD Edition,,5.82,Microsoft Studios,2013,PC,,,,,,
New Super Mario Bros. U,,5.82,Nintendo,2012,WiiU,,,,,,8.4
Deep Rock Galactic,,5.81,Coffee Stain Publishing,2020,All,,,,,,
DayZ,,5.8,Bohemia Interactive,2018,All,,,,,,
Link's Crossbow Training,,5.79,Nintendo,2007,Wii,,,,,,6.9
Red Dead Redemption 2,5.77,,Rockstar Games,2018,XOne,,3.76,0.54,1.47,,
Destiny,5.76,,Activision,2014,PS4,0.16,2.53,0.94,2.13,,
Tekken 2,5.74,,Namco,1996,PS,1.36,2.26,0.23,1.89,,9.1
Anno,,5.7,GT Interactive,2000,Series,,,,,,
Crash Bandicoot 3: Warped,,5.7,Sony Computer Entertainment,1998,PS,,,,,,9.3
Trials,,5.7,RedLynx,2009,Series,,,,,,
Uncharted: The Nathan Drake Collection,5.7,,Sony Computer Entertainment,2015,PS4,0.1,2.55,0.94,2.11,,
Super Mario World: Super Mario Advance 2,,5.69,Nintendo,2002,GBA,,,,,,9.4
Dishonored,,5.67,Bethesda Softworks,2012,Series,,,,,,
LEGO Star Wars: The Complete Saga,5.66,,LucasArts,2007,Wii,,3.57,0.52,1.57,,8
Cooking Mama,5.66,,Majesco,2006,DS,0.07,3.09,0.58,1.92,,6.6
The Legend of Zelda: Ocarina of Time 3D,,5.62,Nintendo,2011,3DS,,,,,,9.5
Tetris,,5.58,Nintendo,1989,NES,,,,,,
Super Mario Advance,,5.57,Nintendo,2001,GBA,,,,,,8.2
Assassin's Creed II,5.57,,Ubisoft,2009,PS3,0.21,2.54,0.86,1.95,,9
Super Smash Bros.,,5.55,Nintendo,1999,N64,,,,,,8.4
XCOM,,5.55,Microprose,1994,Series,,,,,,
Assassin's Creed,5.55,,Ubisoft,2007,X360,0.07,3.28,0.56,1.64,8,8.2
Batman: Arkham City,5.54,,Warner Bros. Interactive,2011,PS3,0.11,2.72,0.82,1.89,,9.6
Forza Motorsport 3,5.5,,Microsoft Game Studios,2009,X360,0.1,2.99,0.51,1.9,9.8,9.2
Arma III,,5.5,Bohemia Interactive,2013,PC,,,,,,
Detroit: Become Human,,5.5,Sony Interactive Entertainment,2018,PS4,,,,,,8
Dragon Quest IX: Sentinels of the Starry Skies,,5.5,Nintendo,2010,DS,,,,,,8.6
Final Fantasy IX,,5.5,Square,2000,PS,,,,,,9.2
Final Fantasy X-2,,5.5,Square Enix,2003,PS2,,,,,,8.3
NBA 2K11,,5.5,2K Sports,2010,All,,,,,,
Saints Row: The Third,,5.5,THQ,2011,All,,,,,,
Tomb Raider (2013),,5.5,Square Enix,2013,PC,,,,,,8.8
Pokémon Stadium,,5.46,Nintendo,2000,N64,,,,,,7.5
Chrono,,5.45,Square,1995,Series,,,,,,
Donkey Kong Country: Tropical Freeze,,5.44,Nintendo,2014,All,,,,,,
Minecraft,5.43,,Microsoft Studios,2014,XOne,,3.23,0.49,1.71,,
Call of Duty: World at War,5.43,,Activision,2008,PS3,,2.75,0.84,1.84,,8.4
Super Mario Advance 4: Super Mario Bros. 3,,5.43,Nintendo,2003,GBA,,,,,,9.2
Crash Bandicoot: The Wrath of Cortex,5.42,,Universal Interactive,2001,PS2,0.24,2.07,0.82,2.29,,6.9
Atelier,,5.38,Koei Tecmo,2005,Series,,,,,,
Super Smash Bros. for Wii U,,5.38,Nintendo,2014,WiiU,,,,,,9.2
Dragon Ball Xenoverse,,5.35,Bandai Namco Games,2015,All,,,,,,
Final Fantasy XIII,5.35,,Square Enix,2010,PS3,1.87,1.75,0.51,1.23,9.2,8
Gran Turismo 5 Prologue,,5.35,Sony Computer Entertainment,2008,PS3,,,,,,8.3
Dr. Mario,,5.34,Nintendo,1990,GB,,,,,,
Assassin's Creed III,5.31,,Ubisoft,2012,X360,0.03,3.13,0.45,1.71,,
Pokémon Pinball,,5.31,Nintendo,1999,GBC,,,,,,8.7
Assassin's Creed II,5.3,,Ubisoft,2009,X360,0.08,3.14,0.52,1.55,,9.1
Heavy Rain,,5.3,Sony Computer Entertainment,2010,All,,,,,,
Slime Rancher,,5.3,Monomi Park,2017,Series,,,,,,
The Forest,,5.3,Endnight Games Ltd,2014,PC,,,,,,
The Forest,,5.3,Endnight Games Ltd,2018,Series,,,,,,
Donkey Kong 64,,5.27,Nintendo,1999,N64,,,,,,9.3
Tomb Raider II,5.24,,Eidos Interactive,1997,PS,0.2,2.3,0.28,2.46,,7.6
Wolfenstein,,5.24,Bethesda Softworks,1981,Series,,,,,,
Madden NFL 2004,5.23,,EA Sports,2003,PS2,0.01,4.26,0.71,0.26,,9.5
Subnautica,,5.23,Unknown Worlds Entertainment,2018,Series,,,,,,
Subnautica,,5.23,Unknown Worlds Entertainment,2018,All,,,,,,
Call of Duty: Advanced Warfare,5.22,,Activision,2014,XOne,0.01,3.25,0.48,1.49,,8.3
Fallout: New Vegas,,5.22,Bethesda Softworks,2010,PC,,,,,,8.3
Gran Turismo 6,,5.22,Sony Computer Entertainment America,2013,PS3,,,,,,
Nintendo Land,,5.21,Nintendo,2012,WiiU,,,,,,7.5
Devil May Cry 4,,5.2,Capcom,2008,All,,,,,,
Kingdom Hearts II,,5.2,Square Enix,2006,PS2,,,,,,8.3
Super Mario Land 3: Wario Land,,5.19,Nintendo,1994,GB,,,,,,7.9
Donkey Kong Country 2: Diddy's Kong Quest,,5.15,Nintendo,1995,SNES,,,,,,9.3
Ridge Racer,,5.13,Namco,1993,Series,,,,,,
Medal of Honor: Rising Sun,5.13,,Electronic Arts,2003,PS2,0.13,1.98,0.8,2.23,,5.9
Battlefield 1,5.13,,Electronic Arts,2016,XOne,0.02,3.37,0.48,1.26,,9.3
Kirby's Dream Land,,5.13,Nintendo,1992,GB,,,,,,
Microsoft Flight Simulator,5.12,,Microsoft,1996,PC,,3.22,0.2,1.69,,7
Guitar Hero II,5.12,,RedOctane,2006,PS2,,3.81,0.68,0.63,,9.2
FIFA 13,5.11,,EA Sports,2012,X360,0.03,1.1,0.5,3.49,,
Resident Evil 5,5.1,,Capcom,2009,PS3,1.08,1.96,0.64,1.42,8.8,8.6
Fable III,5.1,,Microsoft Game Studios,2010,X360,0.05,3.59,0.37,1.09,,7.8
Guitar Hero World Tour,,5.1,Activision,2008,All,,,,,,
Mario & Sonic at the Olympic Games,5.1,,Sega,2008,DS,0.44,1.63,0.57,2.46,,7
Monument Valley,,5.1,Ustwo Games,2014,All,,,,,,
Resident Evil,,5.08,Capcom,1996,All,,,,,,
Grand Theft Auto: Vice City Stories,5.08,,Rockstar Games,2006,PSP,0.16,1.7,1.19,2.03,,8.4
FIFA Soccer 11,5.08,,EA Sports,2010,PS3,0.06,0.61,1.12,3.28,,8.7
Super Mario Bros. Deluxe,,5.07,Nintendo,1999,GB,,,,,,9.7
Final Fantasy XV,5.07,,Square Enix,2016,PS4,1.05,1.81,0.68,1.53,9,8.1
Rhythm Heaven,,5.05,Nintendo,2009,Series,,,,,,
Disgaea,,5.05,Atlus,2003,Series,,,,,,
Resident Evil (2002),,5.05,Capcom,2002,All,,,,,,
Fallout 4,5.03,,Bethesda Softworks,2015,XOne,0.02,2.94,0.45,1.62,,8.4
Tony Hawk's Pro Skater,5.02,,Activision,1999,PS,0.02,3.42,0.2,1.38,,9.6
Warzone 2100,5.01,,Eidos Interactive,1999,PS,,2.79,0.33,1.89,,
Asterix,,5,Atari,1983,Series,,,,,,
Batman: Arkham Knight,,5,Warner Bros. Interactive Entertainment,2015,All,,,,,,
Chessmaster,,5,Software Country,1986,Series,,,,,,
Cities: Skylines,,5,Paradox Interactive,2015,PC,,,,,,
Close Combat,,5,Microsoft,1996,Series,,,,,,
Danganronpa,,5,NIS America,2014,Series,,,,,,
Dead by Daylight,,5,Behaviour Interactive,2016,All,,,,,,
Dead Island,,5,Deep Silver,2011,All,,,,,,
Death Stranding,,5,Sony Interactive Entertainment,2019,All,,,,,,
Diablo II: Resurrected,,5,Blizzard Entertainment,2021,All,,,,,,
Dying Light 2 Stay Human,,5,Techland,2022,All,,,,,,
Enter the Matrix,,5,Atari,2003,All,,,,,,
F-Zero,,5,Nintendo,1991,Series,,,,,,
Final Fantasy VII Remake,,5,Square Enix,2020,PS4,,,,,,
Gears of War,,5,Microsoft Game Studios,2006,X360,,,,,9.4,9.4
Gears of War 2,,5,Microsoft Game Studios,2008,X360,,,,,9.5,9.4
Guitar Hero II,,5,RedOctane,2006,All,,,,,,
Halo 5: Guardians,,5,Microsoft Studios,2015,XOne,,,,,,8.6
Halo: Combat Evolved,,5,Microsoft,2001,XB,,,,,,9.5
Hyrule Warriors,,5,Nintendo,2014,Series,,,,,,
Kerbal Space Program,,5,Private Division,2015,Series,,,,,,
Kerbal Space Program,,5,Private Division,2015,All,,,,,,
Killing Floor,,5,Tripwire Interactive,2009,PC,,,,,,7.5
L.A. Noire,,5,Rockstar Games,2011,All,,,,,,
Madden NFL 11,,5,EA Sports,2010,All,,,,,,
Madden NFL 12,,5,EA Sports,2011,All,,,,,,
Madden NFL 2004,,5,EA Sports,2003,All,,,,,,
Medal of Honor (2010),,5,Electronic Arts,2010,All,,,,,,
Monster Hunter Rise: Sunbreak,,5,Capcom,2022,All,,,,,,
Need for Speed: Hot Pursuit (2010),,5,Electronic Arts,2010,All,,,,,,
Peter Jackson's King Kong: The Official Game of the Movie,,5,Ubisoft,2005,All,,,,,,
