Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Just Dance,,70,Ubisoft,2009,Series,,,,,,
PlayerUnknown's Battlegrounds,,70,PUBG Corporation,2017,All,,,,,,
Red Dead,,70,Rockstar Games,2004,Series,,,,,,
WWE 2K,,70,2K Games,2000,Series,,,,,,
Dragon Ball,,65.85,Bandai,1986,Series,,,,,,
God of War,,65.5,Sony Interactive Entertainment,2005,Series,,,,,,
Civilization,,65,Microprose,1991,Series,,,,,,
Sonic the Hedgehog,,15,Sega,1991,GEN,,,,,,
Counter-Strike,,65,Valve,2000,Series,,,,,,
Donkey Kong,,65,Nintendo,1981,Series,,,,,,
The Oregon Trail,,65,MECC,1971,Series,,,,,,
The Elder Scrolls Online,,15,Bethesda Softworks,2014,All,,,,,,
Theme Park,,15,Bullfrog Productions,1994,All,,,,,,
The Witcher,,65,CD Projekt,2007,Series,,,,,,
Metal Gear,,59.5,Konami,1987,Series,,,,,,
The Elder Scrolls,,58.62,Bethesda Softworks,1994,Series,,,,,,
Pokémon Brilliant Diamond / Shining Pearl,,14.92,Nintendo,2021,NS,,,,,,
Gran Turismo 3: A-Spec,,14.89,Sony Computer Entertainment,2001,PS2,,,,,,9.3
Brain Age 2: More Training in Minutes a Day,,14.88,Nintendo,2007,DS,,,,,,8
Call of Duty: Modern Warfare 3,14.82,,Activision,2011,X360,0.13,9.07,1.33,4.29,,8.7
New Super Mario Bros. U Deluxe,,14.75,Nintendo,2019,NS,,,,,6.6,
Diablo,,55,Blizzard Entertainment,1997,Series,,,,,,
Call of Duty: Black Ops,14.74,,Activision,2010,X360,0.11,9.76,1.14,3.73,,8.8
Pokémon Yellow: Special Pikachu Edition,,14.64,Nintendo,1999,GB,,,,,,8.7
Pokémon Legends: Arceus,,14.63,Nintendo,2022,NS,,,,,,
Pokémon Omega Ruby/Pokémon Alpha Sapphire,,14.53,Nintendo,2014,3DS,,,,,,
FIFA 13,,14.5,EA Sports,2012,All,,,,,,
Grand Theft Auto III,,14.5,Rockstar Games,2001,All,,,,,,
Halo 3,,14.5,Microsoft Game Studios,2007,X360,,,,,9.5,9.6
Lego Batman,,14.4,Warner Bros. Interactive Entertainment,2008,Series,,,,,,
Everybody's Golf,,14.19,Sony Interactive Entertainment,1998,Series,,,,,,
Final Fantasy VII,,14.1,Sony Computer Entertainment,1997,All,,,,,,
Street Fighter II,,14.05,Capcom,1991,All,,,,,,
Dead Island,,14,Deep Silver,2011,Series,,,,,,
Mafia,,14,2K Games,2002,Series,,,,,,
NBA 2K20,,14,2K Sports,2019,All,,,,,,
Star Wars Battlefront (2015),,14,Electronic Arts,2015,All,,,,,,
Yo-kai Watch,,14,Nintendo,2015,Series,,,,,,
Portal,,13.97,Valve,2007,All,,,,,,
Red Dead Redemption 2,13.94,,Rockstar Games,2018,PS4,0.21,5.26,2.26,6.21,,9.8
Call of Duty: Black Ops II,13.86,,Activision,2012,X360,0.07,8.27,1.2,4.32,,
Call of Duty: Black Ops II,13.8,,Activision,2012,PS3,0.65,4.99,2.28,5.88,,
Fire Emblem,,13.78,Nintendo,2003,Series,,,,,,
Call of Duty: Modern Warfare 2,13.53,,Activision,2009,X360,0.08,8.54,1.28,3.63,9,9.5
Guild Wars,,13.5,NCSoft,2005,Series,,,,,,
Resident Evil 5,,13.5,Capcom,2009,All,,,,,,
New Super Mario Bros. 2,,13.41,Nintendo,2012,3DS,,,,,,7.5
Call of Duty: WWII,13.4,,Activision,2017,PS4,0.4,4.67,2.12,6.21,,8
Dragon Ball Xenoverse,,13.35,Bandai Namco Games,2015,Series,,,,,,
Call of Duty: Modern Warfare 3,13.35,,Activision,2011,PS3,0.49,5.54,1.54,5.78,,8.8
Paper Mario,,13.33,Nintendo,2001,Series,,,,,,
Super Smash Bros. Brawl,,13.32,Nintendo,2008,Wii,,,,,9.7,9.2
Splatoon 2,,13.3,Nintendo,2017,NS,,,,,,8.2
Rock Band,,13.2,MTV Games,2007,Series,,,,,,
Grand Theft Auto III,13.1,,Rockstar Games,2001,PS2,0.3,6.99,1.3,4.51,,9.5
Portal 2,,13.06,Valve,2011,PC,,,,,,9.7
Animal Crossing: New Leaf,,13.02,Nintendo,2013,3DS,,,,,,8.6
ARMA,,13,505 Games,2007,Series,,,,,,
Minecraft,,13,Microsoft Studios,2013,X360,,,,,,
Scribblenauts,,13,Warner Bros. Interactive Entertainment,2009,Series,,,,,,
Stardew Valley,,13,Chucklefish,2016,PC,,,,,,9.2
Super Mario 3D Land,,12.86,Nintendo,2011,3DS,,,,,,8.9
Super Mario Galaxy,,12.8,Nintendo,2007,Wii,,,,,9.6,9.7
Pokémon Heart Gold / Soul Silver Version,,12.72,Nintendo,2010,DS,,,,,,8.6
Tekken,,54.5,Namco,1994,Series,,,,,,
Lego Star Wars,,53.2,Warner Bros. Interactive Entertainment,2005,Series,,,,,,
Far Cry,,52.5,Ubisoft,2004,Series,,,,,,
Mario Kart 8 Deluxe,,52,Nintendo,2017,NS,,,,,,9.3
The Walking Dead: Telltale Games Series,,50,Telltale Games,2012,Series,,,,,,
Bejeweled,,50,PopCap Games,2001,Series,,,,,,
Crash Bandicoot,,50,Sony Interactive Entertainment,1996,Series,,,,,,
Red Dead Redemption 2,,50,Rockstar Games,2018,All,,,,,,
Warriors,,49.95,KOEI,1997,Series,,,,,,
Street Fighter,,49,Capcom,1987,Series,,,,,,
Kirby,,47.38,Nintendo,1992,Series,,,,,,
Fallout,,46.43,Bethesda Softworks,1997,Series,,,,,,
